filial,sigla,email_loja,email_gerente
105 - Uberaba,105,loja105@oscarcalcados.com.br,gerente105@oscarcalcados.com.br
106 - Rio Preto CL1,106,loja106@oscarcalcados.com.br,gerente106@oscarcalcados.com.br
108 - Jô Votuporanga,108,loja108@oscarcalcados.com.br,gerente108@oscarcalcados.com.br
109 - Jô Araraquara Mega,109,loja109@oscarcalcados.com.br,gerente109@oscarcalcados.com.br
111 - Jô Franca,111,loja111@oscarcalcados.com.br,gerente111@oscarcalcados.com.br
113 - Uberlândia,113,loja113@oscarcalcados.com.br,gerente113@oscarcalcados.com.br
114 - Limeira,114,loja114@oscarcalcados.com.br,gerente114@oscarcalcados.com.br
115 - Jô Ourinhos,115,loja115@oscarcalcados.com.br,gerente115@oscarcalcados.com.br
116 - Jô São Carlos,116,loja116@oscarcalcados.com.br,gerente116@oscarcalcados.com.br
117 - Jô Bauru,117,loja117@oscarcalcados.com.br,gerente117@oscarcalcados.com.br
118 - Jô Catanduva,118,loja118@oscarcalcados.com.br,gerente118@oscarcalcados.com.br
119 - Jô Barretos,119,loja119@oscarcalcados.com.br,gerente119@oscarcalcados.com.br
121 - Jô Caçapava,121,loja121@oscarcalcados.com.br,gerente121@oscarcalcados.com.br
122 - Jô Taubaté Shopp,122,loja122@jocalcados.com.br,gerente122@jocalcados.com.br
123 - Resende Ct,123,loja123@oscarcalcados.com.br,gerente123@oscarcalcados.com.br
124 - Oscar CL1,124,loja124@oscarcalcados.com.br,gerente124@oscarcalcados.com.br
125 - Jô CL2,125,loja125@jocalcados.com.br,gerente125@jocalcados.com.br
126 - Jô Guaratinguetá,126,loja126@jocalcados.com.br,gerente126@jocalcados.com.br
127 - Jô Js,127,loja127@oscarcalcados.com.br,gerente127@oscarcalcados.com.br
128 - Jô Taubaté Ct,128,loja128@oscarcalcados.com.br,gerente128@oscarcalcados.com.br
201 - Matriz Carioca,201,loja201@cariocacalcados.com.br,gerente201@cariocacalcados.com.br
202 - Joinville,202,loja202@cariocacalcados.com.br,gerente202@cariocacalcados.com.br
204 - Bom Passo Carioca,204,loja204@cariocacalcados.com.br,gerente204@cariocacalcados.com.br
205 - Ingleses,205,loja205@cariocacalcados.com.br,gerente205@cariocacalcados.com.br
208 - Balneário Carioca,208,loja208@cariocacalcados.com.br,gerente208@cariocacalcados.com.br
209 - Schmidt Cl 1 Ct Carioca,209,loja209@cariocacalcados.com.br,gerente209@cariocacalcados.com.br
211 - Itaguaçú 1 Shopp Carioca,211,loja211@cariocacalcados.com.br,gerente211@cariocacalcados.com.br
212 - Kobrasol Carioca,212,loja212@cariocacalcados.com.br,gerente212@cariocacalcados.com.br
214 - Itajaí Carioca,214,loja214@cariocacalcados.com.br,gerente214@cariocacalcados.com.br
215 - Schmidt Cl 2 Ct Carioca,215,loja215@cariocacalcados.com.br,gerente215@cariocacalcados.com.br
216 - Sports Deodoro Ct Carioca,216,loja216@cariocacalcados.com.br,gerente216@cariocacalcados.com.br
217 - Sports Itaguaçú Shopp Carioca,217,loja217@cariocacalcados.com.br,gerente217@cariocacalcados.com.br
218 - Villa Romana Shopp Carioca,218,loja218@cariocacalcados.com.br,gerente218@cariocacalcados.com.br
219 - Schmidt Cl 3 Ct Carioca,219,loja219@cariocacalcados.com.br,gerente219@cariocacalcados.com.br
221 - Deodoro Ct Carioca,221,loja221@cariocacalcados.com.br,gerente221@cariocacalcados.com.br
223 - Itaguaçú 2 Shopp Carioca,223,loja223@cariocacalcados.com.br,gerente223@cariocacalcados.com.br
224 - Rua Sete Ct Carioca,224,loja224@cariocacalcados.com.br,gerente224@cariocacalcados.com.br
225 - Palhoça Carioca,225,loja225@cariocacalcados.com.br,gerente225@cariocacalcados.com.br
226 - Continente Shopp Carioca,226,loja226@cariocacalcados.com.br,gerente226@cariocacalcados.com.br
227 - Biguaçu Carioca,227,loja227@cariocacalcados.com.br,gerente227@cariocacalcados.com.br
228 - Forquilhinhas Carioca,228,loja228@cariocacalcados.com.br,gerente228@cariocacalcados.com.br
302 - Paquetá Voluntários,302,loja302@lojaspaqueta.com.br,gerente302@lojaspaqueta.com.br
306-PAQUETÁ PARKSHOPPING CANOAS,306,loja306@lojaspaqueta.com.br,gerente306@lojaspaqueta.com.br
317-PAQUETÁ PROTÁSIO ALVES,317,loja317@lojaspaqueta.com.br,gerente317@lojaspaqueta.com.br
318 - Paquetá Cachoeirinha,318,loja318@lojaspaqueta.com.br,gerente318@lojaspaqueta.com.br
319 - Paquetá Gravataí,319,loja319@lojaspaqueta.com.br,gerente319@lojaspaqueta.com.br
323-PAQUETÁ SÃO LEOPOLDO,323,loja323@lojaspaqueta.com.br,gerente323@lojaspaqueta.com.br
326-PAQUETÁ CALÇADOS PRAIA DE BELAS,326,loja326@lojaspaqueta.com.br,gerente326@lojaspaqueta.com.br
327-PAQUETÁ LINDÓIA SHOPPING,327,loja327@lojaspaqueta.com.br,gerente327@lojaspaqueta.com.br
333 - Paquetá Esquina Democrática,333,loja333@lojaspaqueta.com.br,gerente333@lojaspaqueta.com.br
337 - Paquetá Canoas Shopp,337,loja337@lojaspaqueta.com.br,gerente337@lojaspaqueta.com.br
338 - PAQUETÁ ESPORTES BOURBON IPIRANGA,338,loja338@lojaspaqueta.com.br,gerente338@lojaspaqueta.com.br
339 - Paquetá Shopp Novo Hamburgo,339,loja339@lojaspaqueta.com.br,gerente339@lojaspaqueta.com.br
343 - Paquetá Esportes Shopp Iguatemi,343,loja343@lojaspaqueta.com.br,gerente343@lojaspaqueta.com.br
345 - Paquetá Esportes Shopp Canoas,345,loja345@lojaspaqueta.com.br,gerente345@lojaspaqueta.com.br
346-PAQUETÁ JARAGUÁ DO SUL,346,loja346@lojaspaqueta.com.br,gerente346@lojaspaqueta.com.br
347-PAQUETÁ ESPORTES IGUATEMI CAXIAS,347,loja347@lojaspaqueta.com.br,gerente347@lojaspaqueta.com.br
349-PAQUETÁ ESPORTES IGUATEMI FLORIPA,349,loja349@lojaspaqueta.com.br,gerente349@lojaspaqueta.com.br
351-PAQUETÁ BLUMENAU NEUMARKT,351,loja351@lojaspaqueta.com.br,gerente351@lojaspaqueta.com.br
352 - Paquetá Barra Shopp Sul,352,loja352@lojaspaqueta.com.br,gerente352@lojaspaqueta.com.br
353 - Paquetá Esportes Barra Shopp Sul,353,loja353@lojaspaqueta.com.br,gerente353@lojaspaqueta.com.br
355-PAQUETA ESPORTES PASSO FUNDO,355,loja355@lojaspaqueta.com.br,gerente355@lojaspaqueta.com.br
356 - Paquetá Andradas,356,loja356@lojaspaqueta.com.br,gerente356@lojaspaqueta.com.br
359-PAQUETA GARTEN SHOPPING JOINVILLE,359,loja359@lojaspaqueta.com.br,gerente359@lojaspaqueta.com.br
362-PAQUETA ESPORTES SANTA MARIA,362,loja362@lojaspaqueta.com.br,gerente362@lojaspaqueta.com.br
363-PAQUETA NORTE SHOPPING BLUMENAU,363,loja363@lojaspaqueta.com.br,gerente363@lojaspaqueta.com.br
364 - Paquetá Cassol Center Lar,364,loja364@lojaspaqueta.com.br,gerente364@lojaspaqueta.com.br
367-PAQUETA ESPORTES WALLIG,367,loja367@lojaspaqueta.com.br,gerente367@lojaspaqueta.com.br
378-PAQUETA SHOPPING PELOTAS,378,loja378@lojaspaqueta.com.br,gerente378@lojaspaqueta.com.br
382 - Paquetá Shopp Gravataí,382,loja382@lojaspaqueta.com.br,gerente382@lojaspaqueta.com.br
391-PAQUETA CAMBORIU,391,loja391@lojaspaqueta.com.br,gerente391@lojaspaqueta.com.br
404 - Gaston Andradas,404,loja404@gaston.com.br,gerente404@gaston.com.br
411-GASTON RIO GRANDE,411,loja411@gaston.com.br,gerente411@gaston.com.br
413-GASTON OTÁVIO ROCHA,413,loja413@gaston.com.br,gerente413@gaston.com.br
414-GASTON CACHOEIRINHA - F.CUNHA,414,loja414@gaston.com.br,gerente414@gaston.com.br
415-GASTON AZENHA,415,loja415@gaston.com.br,gerente415@gaston.com.br
417-GASTON GRAVATAÍ - CENTRO,417,loja417@gaston.com.br,gerente417@gaston.com.br
419 - Gaston Shopp Iguatemi,419,loja419@gaston.com.br,gerente419@gaston.com.br
421 - Gaston Canoas Shopp,421,loja421@gaston.com.br,gerente421@gaston.com.br
422-GASTON BOURBON ASSIS BRASIL,422,loja422@gaston.com.br,gerente422@gaston.com.br
423 - Gaston Assis Brasil,423,loja423@gaston.com.br,gerente423@gaston.com.br
424-GASTON ALVORADA,424,loja424@gaston.com.br,gerente424@gaston.com.br
426 - Gaston Cavalhada,426,loja426@gaston.com.br,gerente426@gaston.com.br
427-GASTON CARREFOUR PARTENON,427,loja427@gaston.com.br,gerente427@gaston.com.br
428-GASTON CARREFOUR UBIRICI,428,loja428@gaston.com.br,gerente428@gaston.com.br
430-GASTON SHOPPING TOTAL,430,loja430@gaston.com.br,gerente430@gaston.com.br
431-GASTON CALÇADÃO CANOAS,431,loja431@gaston.com.br,gerente431@gaston.com.br
432-GASTON CACHOEIRINHA - F.CUNHA,432,loja432@lojaspaqueta.com.br,gerente432@gaston.com.br
434-GASTON SAPUCAIA DO SUL,434,loja434@gaston.com.br,gerente434@gaston.com.br
436-GASTON VIAMAO,436,loja436@gaston.com.br,gerente436@gaston.com.br
439-GASTON CARREFOUR SERTORIO,439,loja439@gaston.com.br,gerente439@gaston.com.br
440 - Gaston Barra Shopp Sul,440,loja440@gaston.com.br,gerente440@gaston.com.br
441-GASTON WALLIG,441,loja441@gaston.com.br,gerente441@gaston.com.br
444-GASTON SHOPP PELOTAS,444,loja444@gaston.com.br,gerente444@gaston.com.br
445 - Gaston Shopp Gravataí,445,loja445@gaston.com.br,gerente445@gaston.com.br
446-GASTON RIO GRANDE PRAÇA SHOPPING,446,loja446@gaston.com.br,gerente446@gaston.com.br
447-GASTON PARKSHOPPING CANOAS,447,loja447@gaston.com.br,gerente447@gaston.com.br
449-GASTON SANTA MARIA,449,loja449@gaston.com.br,gerente449@gaston.com.br
004 - Jc 2,004,loja004@oscarcalcados.com.br,
009 - Js,009,loja009@oscarcalcados.com.br,
028 - Taub Ct,028,loja028@oscarcalcados.com.br,
052 - Outlet Bauru,052,loja052@oscarcalcados.com.br,
072 - Novo Shopp Ribeirão,072,loja072@oscarcalcados.com.br,
074 - Piracicaba Shopping,074,loja074@oscarcalcados.com.br,
075 - Cruzeiro,075,loja075@oscarcalcados.com.br,
076 - Outlet Oscar Motorama,076,loja076@oscarcalcados.com.br,
077 - Jundiai Maxi Shopp,077,loja077@oscarcalcados.com.br,
078 - Bauru Boulevard Shopp,078,loja078@oscarcalcados.com.br,
079 - Outlet Pres. Prudente,079,loja079@oscarcalcados.com.br,
120 - Presidente Prudente,120,loja120@oscarcalcados.com.br,
229 - Ingleses Carioca 2,229,loja229@cariocacalcados.com.br,
348 - Paquetá Esportes Do Parkshopping Canoas,348,loja348@lojaspaqueta.com.br,
450 - Gaston Shopp Caxias,450,loja450@gaston.com.br,
034 - Stock Show Bc,034,loja034@stockshow.com.br,
035 - Stock Show Sz,035,loja035@stockshow.com.br,
036 - Scarlen Shopp Suzan,036,loja036@scarlen.com.br,
037 - Scarlen Mogi Centro,037,loja037@scarlen.com.br,
038 - Scarlen Mogi Shopp,038,loja038@scarlen.com.br,
